Date,Close/Last,Volume,Open,High,Low,Change
05/11/2021,125.91,126142800,123.5,126.27,122.77,2.41
05/10/2021,126.85,88071230,129.41,129.54,126.81,-2.56
05/07/2021,130.21,78973270,130.85,131.2582,129.475,-0.64
05/06/2021,129.74,78128330,127.89,129.75,127.13,1.85
05/05/2021,128.1,84000900,129.2,130.45,127.97,-1.1
05/04/2021,127.85,137564700,131.19,131.4899,126.7,-3.34
05/03/2021,132.54,75135100,132.04,134.07,131.83,0.5
04/30/2021,131.46,109839500,131.78,133.56,131.065,-0.32
04/29/2021,133.48,151101000,136.47,137.07,132.45,-2.99
04/28/2021,133.58,107760100,134.31,135.02,133.08,-0.73
04/27/2021,134.39,66015800,135.01,135.41,134.11,-0.62
04/26/2021,134.72,66905070,134.83,135.06,133.56,-0.11
04/23/2021,134.32,78756780,132.16,135.12,132.16,2.16
04/22/2021,131.94,84566460,133.04,134.15,131.41,-1.1
04/21/2021,133.5,68847140,132.36,133.75,131.3001,1.14
04/20/2021,133.11,94812350,135.02,135.53,131.81,-1.91
04/19/2021,134.84,94264220,133.51,135.47,133.34,1.33
04/16/2021,134.16,84922390,134.3,134.67,133.28,-0.14
04/15/2021,134.5,89347100,133.82,135,133.64,0.68
04/14/2021,132.03,87222780,134.94,135,131.655,-2.91
04/13/2021,134.43,91266550,132.44,134.66,131.93,1.99
04/12/2021,131.24,91419980,132.52,132.85,130.63,-1.28
04/09/2021,132.995,106686700,129.8,133.04,129.47,3.195
04/08/2021,130.36,88844590,128.95,130.39,128.52,1.41
04/07/2021,127.9,83466720,125.83,127.92,125.14,2.07
04/06/2021,126.21,80171250,126.5,127.13,125.65,-0.29
04/05/2021,125.9,88651180,123.87,126.1601,123.07,2.03
04/01/2021,123,75089130,123.66,124.18,122.49,-0.66
03/31/2021,122.15,118323800,121.65,123.52,121.15,0.5
03/30/2021,119.9,85671920,120.11,120.4031,118.86,-0.21
03/29/2021,121.39,80819200,121.65,122.58,120.7299,-0.26
03/26/2021,121.21,94071230,120.35,121.48,118.92,0.86
03/25/2021,120.59,98844680,119.54,121.66,119,1.05
03/24/2021,120.09,88530490,122.82,122.9,120.065,-2.73
03/23/2021,122.54,95467140,123.33,124.24,122.14,-0.79
03/22/2021,123.39,111912300,120.33,123.87,120.26,3.06
03/19/2021,119.99,185549500,119.9,121.43,119.675,0.09
