Date,Close/Last,Volume,Open,High,Low
02/17/2021,$72.49,3918090,$72.47,$73.72,$72.23
02/16/2021,$72.75,4968612,$75.1,$75.2,$72.6
02/12/2021,$74.95,3174371,$75.5,$75.54,$74.41
02/11/2021,$75.9,3171389,$77.51,$78.37,$75.0574
02/10/2021,$79,2266172,$79.56,$79.99,$78.7425
02/09/2021,$79.02,1876157,$78.83,$79.49,$78.67
02/08/2021,$78.5,2401839,$79.79,$80.22,$78.14
02/05/2021,$79.82,928485,$80.78,$80.85,$79.695
02/04/2021,$80.09,991700,$80.04,$81.26,$79.608
02/03/2021,$79.74,1067015,$80.35,$80.65,$79.2
02/02/2021,$80.48,1169541,$80.54,$82.06,$80.435
02/01/2021,$80.09,1270560,$80.76,$80.76,$79.47
01/29/2021,$80.11,1492443,$80.12,$81.255,$79.25
01/28/2021,$80.66,2149602,$83.12,$84.2,$80.62
01/27/2021,$83.3,3087879,$80.9,$84.059,$80.9
01/26/2021,$81.33,1010765,$80.66,$81.44,$79.93
01/25/2021,$80.5,1525629,$79.85,$81.36,$79.755
01/22/2021,$79.9,1312509,$79.64,$80.26,$79.21
01/21/2021,$79.62,964341,$79.62,$80.17,$79.41
01/20/2021,$79.74,1184177,$79.08,$80,$78.8
01/19/2021,$79.51,1332912,$79.38,$80.0261,$78.76
01/15/2021,$80.21,1453908,$80.12,$80.47,$79.08
01/14/2021,$80.33,2281977,$80.43,$81.75,$80.23
01/13/2021,$80.65,2375537,$79.01,$80.82,$78.8686
01/12/2021,$78.93,1199202,$78.79,$79.19,$78.28
01/11/2021,$78.88,1343690,$79.65,$79.8,$78.45
01/08/2021,$79.86,1586941,$79.5,$80,$78.37
01/07/2021,$79.63,1824499,$78.395,$80,$78.395
01/06/2021,$78.83,1807083,$76.74,$78.95,$76.52
01/05/2021,$78.21,1123622,$77.5,$78.5,$77.34
01/04/2021,$77.74,2180674,$78.4,$79.03,$76.55
12/31/2020,$78.48,704915,$78.014,$78.55,$77.58
12/30/2020,$77.98,698445,$78.38,$78.98,$77.85
12/29/2020,$78.5,772595,$78.58,$78.98,$78.2
12/28/2020,$78.05,1425229,$78.7,$79.24,$77.51
12/24/2020,$78.41,432006,$78.4,$78.46,$77.62
12/23/2020,$77.69,1039647,$77.78,$78.24,$77.35
12/22/2020,$77.38,1612236,$76.58,$77.62,$76.47
12/21/2020,$76.59,1307984,$76.66,$77.08,$75.09
12/18/2020,$77.6,5548740,$77.68,$78.21,$76.97
12/17/2020,$78.16,2600150,$77.41,$78.37,$77.324
12/16/2020,$77.4,3245802,$75.76,$77.5,$75.44
12/15/2020,$75.36,1611758,$74.7,$75.41,$74.32
12/14/2020,$74.25,1521998,$74.95,$75.03,$74.14
12/11/2020,$74.51,1486224,$74.08,$75.015,$73.77
12/10/2020,$73.97,1191400,$74.05,$74.325,$73.53
12/09/2020,$74.41,1924089,$74.12,$75.1612,$73.855
12/08/2020,$74.15,1884089,$72.15,$74.19,$72.15
12/07/2020,$72.84,1635800,$74.22,$74.47,$72.74
12/04/2020,$74.29,1443676,$73.695,$74.77,$73.47
12/03/2020,$73.89,1274380,$75.15,$75.27,$73.65
12/02/2020,$75.47,844220,$75.04,$75.55,$74.84
12/01/2020,$75.37,1308756,$75.06,$76,$74.9
11/30/2020,$74.84,1937928,$74.12,$74.88,$73.75
11/27/2020,$74.1,819804,$74.07,$74.375,$73.79
11/25/2020,$74.12,863946,$74.8,$74.815,$73.8
11/24/2020,$74.37,1196858,$74.17,$75.15,$73.78
11/23/2020,$73.61,1315436,$73.97,$74.4324,$73.165
11/20/2020,$73.25,1558802,$72.87,$74.12,$72.54
11/19/2020,$72.87,1140279,$73.03,$73.36,$72.1
11/18/2020,$72.92,1298404,$74.52,$75.24,$72.8801
11/17/2020,$74.77,913247,$74.72,$75.39,$73.88
11/16/2020,$75.26,790482,$75.58,$76.1494,$74.995
11/13/2020,$75.46,997585,$74.343,$75.46,$74.21
11/12/2020,$73.86,897511,$74.27,$74.88,$73.385
11/11/2020,$74.61,1399683,$75.29,$75.47,$73.94
11/10/2020,$74.72,1798428,$72.94,$75.06,$72.798
11/09/2020,$73.87,2234582,$75.74,$77.33,$73.81
11/06/2020,$72.96,1030723,$72.78,$73.2,$71.94
11/05/2020,$72.4,1316317,$73.6,$73.65,$72.14
11/04/2020,$72.1,2146791,$74.89,$75.22,$71.91
11/03/2020,$72.45,1253902,$72.57,$73.47,$72.31
11/02/2020,$71.87,1132771,$71,$71.9,$70.44
10/30/2020,$70.09,1474698,$69.295,$70.775,$69.05
10/29/2020,$70.48,1773270,$70.38,$71.66,$68.48
10/28/2020,$70.64,2916532,$72.145,$72.55,$70.51
10/27/2020,$72.74,1347108,$72.91,$73.93,$72.11
10/26/2020,$72.87,987513,$72.53,$73.12,$71.75
10/23/2020,$73.72,847924,$73.04,$74.13,$73
10/22/2020,$72.59,802847,$72.68,$72.77,$71.14
10/21/2020,$72.56,1416634,$72.68,$73.49,$72.33
10/20/2020,$72.7,787560,$72.59,$73.59,$72.22
10/19/2020,$72.36,1053160,$74.75,$75.11,$72.03
10/16/2020,$74.63,1549555,$73.95,$75.24,$73.54
10/15/2020,$73.76,1109362,$73.23,$74.08,$73.08
10/14/2020,$74.23,1122801,$73.75,$74.39,$73.25
10/13/2020,$73.25,1411366,$74.0371,$74.0799,$72.96
10/12/2020,$73.79,1836882,$72.85,$75.05,$72.7
10/09/2020,$72.39,1023115,$72.67,$73.18,$71.87
10/08/2020,$71.84,807122,$71.84,$72.1839,$71.44
10/07/2020,$71.48,1022064,$72.82,$72.93,$71.4
10/06/2020,$71.98,1336947,$72.17,$73.14,$71.5
10/05/2020,$71.76,1314447,$70.71,$71.96,$70.71
10/02/2020,$71.18,1027165,$71.51,$71.98,$70.48
10/01/2020,$72.31,1402660,$72.85,$73.3,$71.75
09/30/2020,$72.29,1712160,$71.58,$73.16,$70.639
09/29/2020,$71.19,1257940,$71.38,$72.5,$71.1
09/28/2020,$71.6,1833154,$70.05,$71.63,$69.81
09/25/2020,$69.31,1319215,$67.11,$69.51,$66.92
09/24/2020,$67.48,949111,$67.53,$68.26,$66.75
09/23/2020,$67.73,1424167,$68.72,$68.99,$67.435
09/22/2020,$68.63,1459565,$68.61,$69.03,$67.81
09/21/2020,$68.7,1820916,$68.51,$69.04,$67.08
09/18/2020,$69.85,2784144,$72.1,$72.135,$69.33
09/17/2020,$71.78,1432451,$71.27,$72.085,$70.71
09/16/2020,$72.42,1965526,$72.4,$73.58,$72.06
09/15/2020,$71.7,1099146,$72,$72.35,$71.58
09/14/2020,$71.94,977546,$71.46,$72.55,$71.45
09/11/2020,$70.95,1844341,$69.995,$71.4,$69.94
09/10/2020,$70.38,1545917,$71.37,$72.09,$70.2799
09/09/2020,$71.57,1562627,$70.77,$72.135,$70.336
09/08/2020,$70.04,2563086,$71.38,$71.67,$69.7522
09/04/2020,$72.01,2251969,$73.87,$74.6,$71.785
09/03/2020,$73.77,2114806,$75.187,$76.21,$73.06
09/02/2020,$75.23,2561774,$72.91,$75.4987,$72.6
09/01/2020,$72.47,1034790,$72.88,$73.03,$72.05
08/31/2020,$73.37,2016934,$71.85,$73.68,$71.85
08/28/2020,$72.8,946142,$73.28,$73.42,$72.22
08/27/2020,$73.24,1626955,$72.21,$73.45,$71.64
08/26/2020,$71.39,1038015,$71.79,$71.79,$70.61
08/25/2020,$71.81,1134561,$72.41,$72.5,$71.5
08/24/2020,$72.36,932830,$72.16,$72.5,$71.82
08/21/2020,$71.82,1201597,$71.25,$71.91,$71.11
08/20/2020,$71.63,833315,$72.26,$72.69,$71.47
08/19/2020,$72.44,824330,$73.67,$73.79,$72.25
08/18/2020,$73.41,1589084,$73.24,$73.79,$73.045
08/17/2020,$72.86,1284518,$73,$73.06,$72.52
08/14/2020,$72.91,1427702,$72.89,$73.27,$72.59
08/13/2020,$73.08,1409612,$72.7,$73.215,$72.47
08/12/2020,$72.77,1600904,$72.55,$73.52,$72.37
08/11/2020,$72.41,2393876,$72.17,$72.93,$72.02
08/10/2020,$71.98,2300434,$70,$71.99,$69.92
08/07/2020,$70.04,1861942,$69.52,$70.05,$69.24
08/06/2020,$69.95,1411108,$69.29,$70.12,$69.29
08/05/2020,$69.31,1257344,$69.47,$69.59,$68.49
08/04/2020,$68.91,1536231,$68.51,$69.45,$68.23
08/03/2020,$68.82,1902827,$69.23,$69.66,$68.57
07/31/2020,$69.45,2033812,$71.04,$71.58,$68.87
07/30/2020,$71.26,2380120,$70.92,$72.75,$69.31
